"Name";"BlueFolderPath"
"AlfHeavyForwarder02";"/AX"
"AlfHeavyForwarder01";"/AX"
"alfhpcloud01";"/Cloud"
"alfcobdb01";"/CoB"
"alfcobfe02";"/CoB"
"alfcobfe01";"/CoB"
"alfvmcsrv01";"/Core"
"AlfDPAApp01";"/Data Protection"
"alfossavmprx02";"/Data Protection"
"AlfNetWorker01";"/Data Protection"
"alfossavmprx01";"/Data Protection"
"AlfDPADB01";"/Data Protection"
"idmldaplab01";"/IDM LAB"
"idmsqllab01";"/IDM LAB"
"idmweblab01";"/IDM LAB"
"idmsqllab02";"/IDM LAB"
"idmweb07";"/IDM"
"idmweb01";"/IDM"
"idmweb05";"/IDM"
"idmsql01";"/IDM"
"idmsql02";"/IDM"
"idmweb03";"/IDM"
"alfr18cormy";"/IPTV"
"alfv01acs";"/NSU"
"ALFR01FWFMG";"/NSU"
"alfr01cebem";"/NSU"
"alfr01eeacs";"/NSU"
"alfr01acenm";"/NSU"
"imsbcksrv";"/Operacoes"
"WinMGW";"/Operacoes"
"vg10mig";"/Other OSS Teams Solutions"
"router";"/Other Tests"
"alfrac02";"/RAC"
"alfcman01";"/RAC"
"alfrac01";"/RAC"
"alfracem01";"/RAC"
"rastransfer01";"/RAS"
"hercules";"/RAS"
"rasad02";"/RAS"
"rascitrix02";"/RAS"
"rascitrix01";"/RAS"
"rasad01";"/RAS"
"rassql01";"/RAS"
"alfvismon01";"/Radio"
"alfgeomap";"/Radio"
"sshsrv02";"/SSHs"
"sshsrv01";"/SSHs"
"alfsplfw01";"/Splunk"
"alfsplfe01";"/Splunk"
"alfsplind01";"/Splunk"
"alfossnodebck01";"/Infrastructure/Management Servers"
"alfvmrviewcli01";"/Citrix/Citrix Servers/PT Production"
"alfvmtemip05";"/Citrix/Citrix Servers/PT Production"
"alfadtst01";"/Citrix/Citrix Infrastructure Laboratory"
"adaxa4e";"/Citrix/Citrix Infrastructure Laboratory"
"alfwebitst01";"/Citrix/Citrix Infrastructure Laboratory"
"alftstsql01";"/Citrix/Citrix Infrastructure Laboratory"
"alfaxad01";"/Citrix/Citrix Infrastructure Laboratory"
"alfadtst02";"/Citrix/Citrix Infrastructure Laboratory"
"alfntsosspt01";"/Citrix/Citrix Infrastructure Production"
"alfwi01";"/Citrix/Citrix Infrastructure Production"
"alfvmsql01";"/Citrix/Citrix Infrastructure Production"
"alfctxweb01";"/Citrix/Citrix Infrastructure Production"
"alfntscc01";"/Citrix/Citrix Infrastructure Production"
"alfad01";"/Citrix/Citrix Infrastructure Production"
"alfad02";"/Citrix/Citrix Infrastructure Production"
"alfvmdc01";"/Citrix/Citrix Infrastructure Production"
"alfwi02";"/Citrix/Citrix Infrastructure Production"
"alfvmweb01";"/Citrix/Citrix Infrastructure Production"
"alfvmspp";"/Infrastructure/Management Servers"
"milao01";"/Infrastructure/Management Servers"
"alfossproxy";"/Infrastructure/Management Servers"
"alfadmwin01";"/Infrastructure/Management Servers"
"admsrv";"/Infrastructure/Management Servers"
"alfvmwiki";"/Infrastructure/Management Servers"
"alfxms01";"/Infrastructure/Management Servers"
"alfunivmax01";"/Infrastructure/Management Servers"
"alfipfwcz01";"/Infrastructure/Management Servers"
"alfprotect01";"/Infrastructure/Vmware"
"ALFSQL01";"/Infrastructure/Vmware"
"alfveeam01";"/Infrastructure/Vmware"
"berlim01";"/Infrastructure/Vmware"
"alf2omsas";"/NE Systems/OSS Ericsson"
"alfomsas";"/NE Systems/OSS Ericsson"
"alfr03cormy";"/Operacoes/AntiVirus APGs"
"ACSM-FE";"/Other OSS Teams Solutions/ACS"
"ACSM-BE";"/Other OSS Teams Solutions/ACS"
"alfarisbs01";"/Other OSS Teams Solutions/ARIS"
"alfarisbp01";"/Other OSS Teams Solutions/ARIS"
"alfcomba01";"/Other OSS Teams Solutions/Aimos"
"alfautosys01";"/Other OSS Teams Solutions/Autosys"
"vfpt-engbomod01";"/Other OSS Teams Solutions/BusinessObjects"
"vfpt-engbo01";"/Other OSS Teams Solutions/BusinessObjects"
"vfpt-engbowas01";"/Other OSS Teams Solutions/BusinessObjects"
"PTSONCL04";"/Other OSS Teams Solutions/Cisco-Son"
"PTSONCL05";"/Other OSS Teams Solutions/Cisco-Son"
"PTSONCL02";"/Other OSS Teams Solutions/Cisco-Son"
"PTSONCL03";"/Other OSS Teams Solutions/Cisco-Son"
"PTSONCL01";"/Other OSS Teams Solutions/Cisco-Son"
"obiee";"/Other OSS Teams Solutions/Customer Experience"
"alfhdmstp01";"/Other OSS Teams Solutions/HDM"
"hpsacl04";"/Other OSS Teams Solutions/HPSA"
"hpsacl01";"/Other OSS Teams Solutions/HPSA"
"hpsacl03";"/Other OSS Teams Solutions/HPSA"
"hpsacl02";"/Other OSS Teams Solutions/HPSA"
"alfsolid01";"/Other OSS Teams Solutions/IPAM"
"alfmedeu01";"/Other OSS Teams Solutions/Mediation"
"netviewersrv02";"/Other OSS Teams Solutions/Netviewer"
"netviewersrv01";"/Other OSS Teams Solutions/Netviewer"
"netviewersrv03";"/Other OSS Teams Solutions/Netviewer"
"alfmeter1e";"/Other OSS Teams Solutions/OSS-IS"
"mapidea01";"/Other OSS Teams Solutions/OSS-IS"
"alfslamgt01";"/Other OSS Teams Solutions/OSS-IS"
"alfeventd01";"/Other OSS Teams Solutions/OSS-IS"
"mapidea02";"/Other OSS Teams Solutions/OSS-IS"
"alfeventd02";"/Other OSS Teams Solutions/OSS-IS"
"alfdevwm01";"/Other OSS Teams Solutions/OSS-OEE"
"alforaem";"/Other OSS Teams Solutions/Oracle"
"alforaodi";"/Other OSS Teams Solutions/Oracle"
"alfpentdi03";"/Other OSS Teams Solutions/Pentaho"
"alfpentdi04";"/Other OSS Teams Solutions/Pentaho"
"alfpentrep01";"/Other OSS Teams Solutions/Pentaho"
"alfexa01odi";"/Other OSS Teams Solutions/Pentaho"
"alfpentdi01";"/Other OSS Teams Solutions/Pentaho"
"alfpentdi02";"/Other OSS Teams Solutions/Pentaho"
"alfpentlbba11";"/Other OSS Teams Solutions/Pentaho"
"alfpentdi15";"/Other OSS Teams Solutions/Pentaho"
"alfpentdi11";"/Other OSS Teams Solutions/Pentaho"
"alfpentdi14";"/Other OSS Teams Solutions/Pentaho"
"alfpentdi13";"/Other OSS Teams Solutions/Pentaho"
"alfpentrep11";"/Other OSS Teams Solutions/Pentaho"
"alfpentdi12";"/Other OSS Teams Solutions/Pentaho"
"alfpentba02";"/Other OSS Teams Solutions/Pentaho"
"alfpentba01";"/Other OSS Teams Solutions/Pentaho"
"alfpentlbba01";"/Other OSS Teams Solutions/Pentaho"
"alfpentba11";"/Other OSS Teams Solutions/Pentaho"
"alfpentba12";"/Other OSS Teams Solutions/Pentaho"
"alfpentdi05";"/Other OSS Teams Solutions/Pentaho"
"ptwmp6vr";"/Other OSS Teams Solutions/SMART"
"ALFFTTHSRV1H";"/Other OSS Teams Solutions/U2000"
"alfu2000srv1h";"/Other OSS Teams Solutions/U2000"
"SDTRFNMS";"/Other OSS Teams Solutions/U2000"
"WOWF3";"/Other OSS Teams Solutions/WOW"
"Icinga";"/Other OSS Teams Solutions/WOW"
