Name;Folder
"boa_eh_nessus;"/Seguranca"
"boaad01;"/Citrix/Citrix Infrastructure Production"
"boaad02;"/Citrix/Citrix Infrastructure Production"
"boaadmsrv;"/Infrastructure/Management Servers"
"boaadmuxcz01;"/Infrastructure/Management Servers"
"boaadmwin01;"/Infrastructure/Management Servers"
"boaadmwow01;"/Other OSS Teams Solutions/WOW"
"boaanoctemip01;"/Citrix/Citrix Servers/ANOC ES Laboratory"
"boactxatoll02;"/Other Tests"
"boactxweb01;"/Citrix/Citrix Infrastructure Production"
"boaeventd01;"/Other OSS Teams Solutions/OSS-IS"
"boaeventd02;"/Other OSS Teams Solutions/OSS-IS"
"BOAFTTHSRV2H;"/Other OSS Teams Solutions/U2000"
"boajmphppoc01;"/Infrastructure/Management Servers"
"boajmphppoc02;"/Infrastructure/Management Servers"
"boamedeu01;"/Other OSS Teams Solutions/Mediation"
"boanedss1;"/NE Systems/OSS Ericsson"
"BoaNetWorker01;"/Data Protection"
"BoaNetWorkerXX;"/Templates/Templates OS"
"boantsosspt01;"/Citrix/Citrix Infrastructure Production"
"boaomsas01;"/NE Systems/OSS Ericsson"
"boaossavmprx01;"/Data Protection"
"boaossis01;"/Other OSS Teams Solutions/OSS-IS"
"Boaossjmp01;"/Infrastructure/Management Servers"
"boaossproxy;"/Infrastructure/Management Servers"
"boapmo01;"/Other OSS Teams Solutions/OSS-IS"
"boarac01;"/RAC"
"boarac02;"/RAC"
"boaslamgt01;"/Other OSS Teams Solutions/OSS-IS"
"boasql01;"/Citrix/Citrix Infrastructure Production
"boasshsrv01;"/SSHs
"boatsowebscanner;"/Seguranca
"boau2000core01;"/Other OSS Teams Solutions/U2000
"boau2000srv1h;"/Other OSS Teams Solutions/U2000
"boaunix01;"/Citrix/Citrix Servers/PT Production
"boav01acenm;"/NSU
"boav01acs;"/NSU
"boav01eeacs;"/NSU
"BOAV01FWFMG;"/NSU
"boav01smu;"/NSU
"boav18cormy;"/IPTV
"boaveeam01;"/Infrastructure/VMware
"boavm01;"/Citrix/Citrix Servers/PT Production
"boavm02;"/Citrix/Citrix Servers/PT Production
"boavm03;"/Citrix/Citrix Servers/PT Production
"boavm04;"/Citrix/Citrix Servers/PT Production
"boavm05;"/Citrix/Citrix Servers/PT Production
"boavm06;"/Citrix/Citrix Servers/PT Production
"boavm07;"/Citrix/Citrix Servers/PT Production
"boavm08;"/Citrix/Citrix Servers/PT Production
"boavm09;"/Citrix/Citrix Servers/PT Production
"boavm10;"/Citrix/Citrix Servers/PT Production
"boavm11;"/Citrix/Citrix Servers/PT Production
"boavm13;"/Citrix/Citrix Servers/PT Production
"boavm14;"/Citrix/Citrix Servers/PT Production
"boavm15;"/Citrix/Citrix Servers/PT Production
"boavm16;"/Citrix/Citrix Servers/PT Production
